,date,var_mean,var_std,var_min,var_max
166,1960-04-15,-1.3713257,0.07513537,-1.51212,-1.0501441
167,1960-04-20,-1.3702657,0.07964841,-1.5124303,-1.0268874
168,1960-04-25,-1.3774565,0.08429371,-1.5226438,-1.0138147
169,1960-04-30,-1.3720665,0.0895453,-1.5399303,-0.9938758
170,1960-05-05,-1.3695757,0.09385185,-1.5329993,-0.98109955
171,1960-05-10,-1.3564904,0.09658894,-1.5206388,-0.96173435
172,1960-05-15,-1.342355,0.09971524,-1.5104402,-0.92638904
173,1960-05-20,-1.3502293,0.10726908,-1.5324123,-0.9135562
174,1960-05-25,-1.3775885,0.1398063,-1.6584556,-0.8872073
175,1960-05-30,-1.2940762,0.47310105,-1.7990363,1.897152
176,1960-06-04,-1.0606339,1.0160068,-1.7075899,3.889358
177,1960-06-09,-0.6271176,1.2415593,-1.5993323,3.937056
178,1960-06-14,1.513392,1.7402599,-1.5335042,6.235895
179,1960-06-19,3.3867123,1.6647874,0.20789851,7.1635413
180,1960-06-24,6.165292,2.5527158,1.2669983,10.1287985
181,1960-06-29,7.0761423,2.6163516,1.8905978,11.308006
182,1960-07-04,6.8659463,2.2462027,2.5068548,10.808558
183,1960-07-09,7.771525,2.449862,3.2354949,11.620626
184,1960-07-14,9.0686245,2.7889822,3.8482494,13.627438
185,1960-07-19,9.086687,2.8625216,4.1500034,13.774763
186,1960-07-24,9.990389,2.9386525,4.877957,14.650983
187,1960-07-29,11.104517,3.2314115,5.2237377,16.154125
188,1960-08-03,11.457733,3.2706132,5.6177025,16.74992
189,1960-08-08,11.666563,3.2026286,6.17903,16.937721
190,1960-08-13,11.847597,3.157087,6.6531677,17.200565
191,1960-08-18,12.064779,3.1173165,6.9133124,17.4371
192,1960-08-23,13.009903,3.1866968,7.2636967,18.277641
193,1960-08-28,12.688215,3.066829,7.470695,17.885708
194,1960-09-02,12.683748,2.9914496,7.5562873,17.813988
195,1960-09-07,12.500769,2.8281443,7.8515563,17.364824
196,1960-09-12,12.052087,2.642872,7.822386,16.768848
197,1960-09-17,11.142165,2.2900386,7.7721086,15.53226
198,1960-09-22,10.6206875,1.9390644,7.847768,14.369923
199,1960-09-27,10.295245,1.808973,7.5832405,13.803665
200,1960-10-02,9.682695,1.6068797,7.3246984,12.947649
